# Size MFLOPS Time(s)
40 10161.96 0.0000
80 8883.95 0.0000
120 8576.79 0.0000
160 8309.26 0.0001
200 8144.40 0.0001
240 8025.64 0.0001
280 7827.44 0.0002
320 7868.00 0.0003
360 7754.12 0.0003
400 7582.04 0.0004
440 7610.71 0.0005
480 7414.38 0.0006
520 7387.36 0.0007
560 7566.75 0.0008
600 7568.38 0.0010
640 7507.99 0.0011
680 7529.57 0.0012
720 7525.44 0.0014
760 7530.36 0.0015
800 7588.68 0.0017
840 7535.21 0.0019
880 7484.54 0.0021
920 7606.37 0.0022
960 7791.52 0.0024
1000 7823.81 0.0026
1200 7402.27 0.0039
1400 7291.13 0.0054
1600 7245.68 0.0071
1800 7232.63 0.0090
2000 6526.69 0.0123
2200 6827.86 0.0142
2400 6966.68 0.0165
2600 7038.54 0.0192
2800 7212.37 0.0217
3000 6912.86 0.0260
3400 7161.52 0.0323
3800 7184.74 0.0402
4200 7170.94 0.0492
4600 7041.75 0.0601
5000 7048.87 0.0709
5400 6918.62 0.0843
5800 7146.01 0.0942
6200 7142.14 0.1076
7000 7178.00 0.1365
7800 7186.49 0.1693
8600 6948.61 0.2129
